[[0:03 | t=3]] [музыка] F [музыка]
[[37:44 | t=2264]] него есть список книг целый, потому что они уже переиздавались несколько раз. Я вообще в целом, как специалисту по маркетингу рекомендую. Его иногда бывает сложно слушать, но это уже дальше от уровня как бы преисполненности зависит. очень сильно. >> Он очень клёво увязывает цифры и маркетинг. Вот его формула прибыли. Я прямо тащусь вообще. Шикарная вещь. >> Да и три сигмы забраны у меня от него ещё там на семинаре, по-моему, восемнадцатого что ли года. Это классика математики, перенесённая в маркетинг. >> Угу. Супер. Так, у тебя ещё
[[38:15 | t=2295]] интересуется, сколько длится консультация и стоимость консультации? Это, видимо, про твои последние вот эти оферы. Ещё раз расскажи. >> Я говорил о том, что мы какое-то количество консультаций я всегда сколько вот у меня получается впихнуть там до пяти я отдаю бесплатно абсолютно. Вот. А если не впихивается, то я в любом случае отдаю со скидкой. Но это я уже буду лучше в личном общении обсуждать тем, кто будет заинтересован. >> Угу. Так, ещё интересуется, как считается или планируется маркетинговый бюджет. И вот, я так понимаю, компания занимается дистрибуцие медозделий. Как
[[38:45 | t=2325]] им посчитать маркетинговый бюджет этот вот, как ты считаешь? >> Аа маркетинговый бюджет планируется от KPI. Э, если, ээ, если мы хотим добиться, если мы от маркетингового бюджета хотим добиться продаж, то мы строим воронку в продажу, ээ, оцениваем на старте, сколько хотели бы, чтобы нам стоила продажа, и масштабируем это на количество продаж. То есть, если, грубо говоря, лид сырой стоит 2.000 руб., квалифицированный 10, а мы хотим 20 штук
[[39:15 | t=2355]] продать, то маркетинговый бюджет должен быть 200.000. Ну, на пальцах, да. Вот. И точно также любая другая маркетинговая воронка, да, потому что в любом случае, если бизнес не увязывает, а-а, бюджет с показателями, то проигрывает либо маркетолог, и он будет уволен после этого периода, либо агентство, и его с ним разорвут договор нафиг. Вот поэтому мы, э, я вот последние 2-3 года очень рад, что эту историю применяю. Я всегда с клиентами проговариваю: "А что вы
[[39:46 | t=2386]] хотите, да?" То есть, ну, какой результат мы хотим добиться, да? Это не обязательно могут быть лиды, это могут быть там наполнение сообщества, подписчики, да, то есть банальные переходы на сайт, но есть цифрованный KPI, особенно в дижиталке, и мы к ним привязываем маркетинговый бюджет и от него рассчитываемся. >> Спасибо. У тебя ещё пару человек спросило, как попасть тебе на консультацию. Повторю уже я. Вот на экране сейчас у нас есть социальные сети Саши. Можно туда зайти, подписаться, написать и попасть таким образом.
[[40:17 | t=2417]] Можно, кто перешёл в канал, пишите либо комментарий к посту, либо в биоканал, а там ссылочка прямо на меня есть в телеге. Никуда не не скрываюсь, просто найти. >> В общем, тебя легко найти, Саша. Спасибо тебе большое. А, очень горячая дискуссия. Я прямо кайфанул от твоего доклада. А вот, подожди, ещё вопрос. Не отпускаю тебя. Давай ещё вопросик. Уже последний я отпущу. >> А Александра пишет: "Отвечают ли маркетологи за продажи или наша задача - это принести лиды, а дальше дело за ропами? Где вообще происходит грани ответственности за средний чек?" Блин, сам подискутировал, но это вот сейчас
[[40:47 | t=2447]] тебе давай, >> да? А я у нас последний год так получилось, что достаточно много, я вот на оффлайне много вожу тематику с трафиком, мы любим таргет и вот эту всю историю. А вот и я вожу именно тематику с трафиком. И у меня есть там смешнейший слайд. Я нашёл классный мем про прода про про про про про про про про про про про про про продажи и я как раз говорил, что это как бы немножко моя боль, потому что я несколько раз влезал прямо в сиремке, там, где нас пускали. А, и у меня на основании этого появилась теория, что на самом деле, может быть,
[[41:18 | t=2478]] это не моя теория, я не проверял ещё, не напрягал нейросети, может быть, кто-то до меня это придумал. Но на самом деле, в идеале, а в течение ближайших, наверное, там 5 лет маркетинг и продажи должны э объединиться в единую систему, потому что до тех пор, пока не спорят между собой, ничего хорошего не выйдет. Э, потому что маркетинг будет всегда счита, ой, точнее, продажи всегда будут считать, а-а, что маркетинг виноват в плохих продажах, а маркетинг будет всегда оправдываться и будет никогда не будет позиция двух равных, всегда будет
[[41:49 | t=2509]] позиция вот на уровне психологии уже, да, э, всегда будет позиция кого-то слабого. А если впрямую отвечать на вопрос, отвечает ли маркетолог за продажи, конечно, нет. Но если мы говорим, если мы развиваем эту тему, а-э, то по факту это звень одной цепи, и если они не научатся взаимодействовать эээ в нормальном, в нормальном формате, то ничего хорошего вообще в целом не будет. А если они научатся взаимодействовать, то и маркетолог начнёт отвечать за продажи. >> Угу. Спасибо тебе большое. Ну, наверное,
[[42:20 | t=2540]] на этом всё. Ещё прямо я прямо кайфанул. Вот не могу как-никак тебя отпустить. Прямо суперкл клёвый доклад. Спасибо тебе большое. Всё, отпускаем тебя, Саша. А запись будет? Спрашивают ещё раз. Да, запись будет. Всё будет. Давайте потихонечку идти дальше. >> Да. Всем, всем, всем удачи. Всё, пока. Пока-пока тебе. Спасибо. Так, наш следующий докладчик. Я так уж встрички сложил, что это я. А это я, Егор Апрелов. Я директор партнёрского маркетинга в компании Vitamin Tools. А сегодня я буду говорить про то, что такое клиентский путь, как его
[[42:50 | t=2570]] использовать и как вообще использовать его для планирования медиактивности. Давайте начнём. Ну, немножечко про мой опыт. Чтобы вы понимали, что я вообще имею право про это говорить. Я 9 лет в маркетинге. У меня есть маркетинговое агентство, 6 лет я им управляю. У меня есть должность директора по партнёрским коммуникациям витамине. Я строю партнёрки, строю коммуникационные стратегии. Всё, заговариваюсь уже, простите. В общем, много я занимаюсь маркетингом, много занимаюсь перформансом и примерно понимаю, как вообще люди приходят к тому или иному каналу трафика в процессе коммуникации. Именно маркетологи как к этому приходят
[[43:20 | t=2600]] и как заказчики вообще это ищут. У меня есть ключевой тезис на сегодняшнюю конференцию. Тезис следующий. Клиент - это центр наш маркетинговых активностей. Если мы его не изучаем, если мы не понимаем, как к нам приходит клиент, то, скорее всего, наш маркетинг уже будет не так эффективен, как он мог бы быть. А почему он должен быть самый главный? Почему должен стоять в самом центре? Ну, во-первых, клиент платит деньги. Это очевидно. Именно клиент - это источник дохода любого бизнеса. И клиенты диктуют правила рынка. Никто не будет покупать какую-то штуку, если эта штука - это
[[43:50 | t=2630]] плод воображения а собственника компании, который никак не коррелирует с тем, нужна ли эта вещь на рынке или нет. Это, в принципе, вот в ту степь, когда потребность определяет наш рынок, наш обще ландшафт экономики. А следующая мысль, почему мы ориентируемся на клиенты, а не на просто там на бабки в маркетинг, на продажи и погнали? Потому что сейчас с каждым годом трафик всё дороже и дороже на рынке. Если мы говорим про перфоманс, про наружку, я вообще молчу. И фактически сейчас для
[[44:20 | t=2660]] того, чтобы расти бизнесу, расти компаниям, очень важно работать не только с базой новых клиентов, но и с тем, чтобы постоянно одогревать текущих клиентов на некую лояльность, совершать их повторные покупки, и тогда это всё будет работать. И в целом, как бы, все эти вот коммуникационные стратегии работат только с фокусом на клиента. А возникает вопрос, как вообще клиента понять, что нужно сделать для того, чтобы понять вообще кто он, что с ним происходит и вообще зачем он нам нужен. А есть прекрасный методологический
[[44:50 | t=2690]] инструмент, который называется Customer Johny Map, карта путешествия потребителя. Она же карта пути клиента называется. Фактически это некий м график, который показывает нам некие шаги, которые проходит клиент, когда он взаимодействует с нашим брендом. Фактически, если мы начинаем картировать поведение нашего потребителя, причём усреднённого потребителя, а тогда мы понимаем некий пул а точек контакта, в которых мы можем построить более точную более точечную коммуникацию с нашим
[[45:21 | t=2721]] клиентом. Как вообще эта штука выглядит? Ну вот для примера покажу. Это достаточно простая карта путешествия потребителя, которая сделана под один сегмент. Это вот интернет-магазин. как приходят люди к тому, чтобы в интернет-магазине что-то купить. А есть несколько этапов, несколько стадий путешествия, так называемых. Какие они могут быть? Ну, самое простое - это а стадия мотивации, когда человек понимает, что у него есть некое желание, желание сделать ту или иную историю. Ну, в данном случае это, к примеру, хочешь
[[45:51 | t=2751]] купить подарок другу на Новый год, а есть желание, есть некое ощущение, есть эмоциональный фон. Он либо доволен, либо недоволен, либо он нейтрально себя чувствует. А есть опыт клиентский, есть ожидания, то есть некие такие м этапы, через которые мы будем проходить. А когда возникла мотивация, когда человек понял, что он, а идёт в сторону покупки подарка на Новый год, а его следующим шагом будет поиск. В данном случае это поиск в интернете. Он будет смотреть товары в Яндексе, в Гугле
[[46:21 | t=2781]] по ключевым словам, будет смотреть о первой объявление результатах поиска, их будет скорее всего несколько. И будет сравнивать то, что он высмотрел с тем, что он видит в поисковой выдаче. На каждом из этих этапов он будет себя чувствовать по-разному. Где-то он будет испытывать позитивный опыт, когда будет видеть большой выбор, например, где-то негативный, если информации будет многое ненужной. Но в целом а каждый из этих потребителей, из усреднённой вот этой вот массы потребителей будет проходить тот или иной путь. Кто-то кто-то пойдёт не в интернет, кто-то, например, пойдёт у друзей, спросит: "А что вы там дарите?" Кто-то пойдёт в социальные
[[46:53 | t=2813]] сети. А разные точки контакта диктуют разные паттерны поведения. Фактически наша аудитория сама выбирает, каким образом к ней, а ей прийти к нам. Но при этом наша задача как бизнеса с вами понимать, каким образом они вообще могут потенциально до нас дойти, эти люди, где они с нами контактируют. И вот в этих вот точках контакта надо эти коммуникации закрывать, как бы это банально не звучало. А что вообще происходит? Какие бывают такие некие базовые проходки по этому пути? Ну, первый этап - это осведомлённость. То
[[47:23 | t=2843]] есть человек, у него возникает некая задача, некая проблема, он начинает понимать, что-то ему надо сделать. Ну вот давайте, я люблю пример приводить. А, например, я встаю с утра и понимаю, что я потолстел. Я толстый, я смотрю на себя, я себе не нравлюсь. Говорите, всё, вот Егор, ты толстый, надо что-то делать. Я осведомился о том, что со мной что-то поменялось в моём вот бытие, что-то случилось. А у меня есть интерес к решению проблемы, некая мотивация, некая задача. А в рамках этого интереса я иду в интернеты, иду к друзьям, иду к знакомым, куда-то ещё иду для того,
[[47:54 | t=2874]] чтобы понять, каким образом я могу решить свою проблему. Моя проблема - это я толсто хочу похудеть. Например, аа в рамках этого срча у меня будет несколько этапов а прохождения пути. Я могу пойти спросить у Яндекса, могу пойти в Google, в Дзен, куда-нибудь во ВКонтакте, в запрещённые социальные сети, в Телегу, погуглить. То есть делать можно много что. А, и в процессе того, что я буду искать информацию в разных точках контакта, я буду наталкиваться на разные варианты решения. И у меня будет возникать выбор. К примеру, я понимаю, что у меня есть вариант купить
[[48:24 | t=2904]] кроссовки, пойти бегать, есть вариант пойти в зал, купить абонемент, есть вариант, например, просто меньше жрать. Я понимаю, что для меня вроде как о'кей вариант с тем, чтобы пойти в зал, но при этом прочем я пока что выбираю направление решения. Я ещё не смотрю на конкретный фитнес-клуб, который находится у меня на районе. Только после того, как я понял, какой вариант решения для себя я выбрал, я буду уже вырабатывать, смотреть конкретные предложения в моей местности, то есть в том контексте, где я нахожусь, который близкий ко мне, устраивает меня по
[[48:54 | t=2934]] деньгам, по условиям, по всему прочему. И вот в этот момент я перейду на этап покупки и буду уже вести переговоры с каждым из этих залов, приходить к ним на пробные, спрашивать, общаться с тренерами, разговаривать. То есть в целом делать некие действия, которые будут в дальнейшем вести меня уже к а какому-то решению моей проблемы. После этапа покупки ещё есть этап оказания услуги сервисные. То есть вот я хожу в зал, решаю свою проблему, что-то с этим делаю, и потом наступает этап лояльности, но обо всём подробно, обо всём по порядку. А для того, чтобы
[[49:24 | t=2964]] вообще разобраться с этой сиджемкой, надо понять вообще зачем, а эта схема нам нужна. Казалось бы, это ещё одна маркетинговая такая фундаментальная штука наподобие тех, которые рассказывал нам сейчас Саша до меня. Но не совсем так. В Что вообще решает CGM? Во-первых, мы понимаем, каким именно образом наш клиент проходит э все вот эти вот этапы, которые я перечислил. И у нас возникает понимание, какие именно каналы коммуникации на каждом из этапов принятия решения мы можем использовать.
[[49:54 | t=2994]] Фактически мы для себя составляем некую карту каналов коммуникации, карту точек контакта, в рамках которых мы видим, что где-то у нас всё хорошо, а где-то, ну, не суперкласс. Ну вот давайте для примера. Вот, например, я нашёл там три фитнес-клуба вот в этом кейсе, что я толстый. А у одного фитнес-клуба есть классно заведённые социальные сети, отзывы тех, кто уже прошёл какие-нибудь программы по похудению или там, не знаю, какие-нибудь экспресс у них там, а, тренинги, ещё что-то. У другого фитнес-клуба есть просто там много отзывов в Яндексе, в Гугле, там в каком-нибудь двогисее, а у третьего есть
[[50:25 | t=3025]] только вывеска и типа Telegram-канал. А мне, как пользователю, скорее всего, будет важно, а, найти информацию про потенциальный вариант решения, который я хочу использовать, а, в том месте, которая мне наиболее близко по моим поведенческим паттернам. К примеру, я сижу в Телеграме, я никогда не заходил в два в своей жизни, во ВКонтакте 10 лет не появлялся. Я пойду в Телеграме искать тех, кто там даёт информацию. И если таких, как я, будет много, то это говорит о том, что фитнес-клубу этому, ну, вот либо этому, либо любому другому, надо закрывать точку контакта, Telegram-канал. И фактически тем самым
[[50:56 | t=3056]] мы можем для себя определить некий набор инструментов, которые нам будут нужны с точки зрения контентной, то есть расположения информации себе, и с точки зрения коммуникационной, то есть рекламы, там, где это необходимо, для того, чтобы наша аудитория, в принципе, обратила на нас внимание. И понимание нашего пути клиента, понимание вообще, что он с нами делает, фактически даёт нам почву для того, чтобы выстраивать некую маркетинговую стратегию, где мы говорим, что вот наш пул инструментов, вот там мы хотим, чтобы наш клиент с нами проконтактировал. И вот такие бюджеты, нательные инструменты мы закладываем для того, чтобы в дальнейшем
[[51:28 | t=3088]] наша коммуникация с клиентом была эффективной. Возникает вопрос, как эту карту вообще составить? Ну, то есть вот что нужно сделать для того, чтобы карта пути потребителя у нас появилась. А действий несколько, они, в принципе, идут по порядку. Первое - это определение этапов клиентского пути. Фактически сейчас вот то, что я выше сказал про осведомлённость, интерес, выбор, покупку, лояльность - это такой урезанный вариант Сиджема. Чуть-чуть дальше я расскажу подробный вариант Сиджема, куда вообще можно посмотреть, какие этапы, какие инструменты обычно используют. А второе, нам нужно собрать
[[51:59 | t=3119]] данные о клиенте. Наш путь клиента будет проходить конкретный человек. Этот конкретный человек будет иметь свои, а, интересы, будет иметь свои задачи, будет иметь свои страхи для решения задач. Есть методология, про неё тоже я сегодня поговорю, которая помогает нам описать портрет клиента так, чтобы это было, а, во-первых, релевантно тому, что на самом деле есть, и не то, что это были наши фантазии как собственников либо маркетологов. И, во-вторых, который будет отвечать на вопрос, зачем клиенту наш продукт. Ищем точки контакта, клиентский опыт описываем и на выходе
[[52:29 | t=3149]] получаем некую, а, портрет потребителя, который в динамике проходит через наш путь вот клиентский. Давайте по этапам поговорим немножечко более подробно. А первый этап называется он осознание потребности. Бывает он ещё называет нулевой этап. Ну вот я встал с утра, понял, что я толстый. У меня в жизни что-то случилось. Я осознал, что какая-то вещь мне не нравится, либо у меня появляется какая-то задача, которую я хочу решить. А фактически с точки зрения аа клиента это ещё не коммерция. То есть я не бегу оставлять деньги за
[[53:00 | t=3180]] решение задачи. У меня просто есть мысль в голове. И вот этот вот первый этап, он достаточно сложен в плане восприятия. Он достаточно сложен в плане того, чтобы на него влиять. Но если нам позволяют, э, делать это бюджеты, то, а, мы можем, если мы большая компания, формировать потребности у клиента. Ну вот, например, а-а, возьмём какой-нибудь условный Вкусвил. Давайте большую компанию возьмём, федеральную, а Вкусвил позиционируется как бренд здорового питания. И своей наружкой, своими слоганами здесь полезное, вкусное и прочее, он будто бы формирует желание
[[53:32 | t=3212]] попробовать а вкусную еду, которая не наносит 3D организму. И фактически вот это вот влияние на этапе, когда я ещё типа не знаю, что я буду есть, мне плевать на полезную еду, вот на это вот всё, вот на этом этапе, когда на меня влияют, я могу изначально свой вектор вот этих вот мыслей склонить в сторону полезной еды и стать клиентом Вкусвила. Фактически задача маркетолога, который хочет влиять на этап основания потребности - это работа с привлечением первинного внимания клиентов и создание вообще понимание, что за бренд, что мы делаем как бренд, какие мы как компания,
[[54:02 | t=3242]] ещё без конкретных товарных предложений, просто описание неких образов компании. И в этом случае у нас есть некий набор инструментов, который помогает нам создать этот образ бренда. Эти инструменты - это органическая выдача, то есть всеоптимизация, это работа с социальными сетями и это работа с контекстом, но именно с работой с информационными запросами, с не с транзакционными, не с теми, которые ведут к запросу купить фактически. А ещё сюда же мы добавляем всевозможные PR-активности, СМИ, то есть большие
[[54:33 | t=3273]] инструменты, дающие большие охваты, наружка, телека - это всё тоже вот на сознание потребности. Те инструменты, которые могут закрыть этот этап. А второй этап называется размышление. А на этом этапе у клиента уже есть сформированная проблема, и он начинает искать пути её решения. Как это происходит? А фактически вот здесь есть такой большой набор точек контакта. Человек идёт в интернеты, человек идёт к друзьям, человек идёт в социальные сети. И наша задача быть в том месте, куда он
[[55:03 | t=3303]] пойдёт. Чтобы это сделать, забегая вперёд, скажу, нужно исследования, нужно работать с аудиторией, исследовать её, делать каздвы, какие-то такие глобальные штуки. Но если мы говорим про какие-то более-менее стандартные точки контакта, которые здесь могут быть, то эта история, например, с emailмаркетингом, когда мы с человеком один раз контактировали на вот первом этапе, потом догреваем его. Это всевозможный информационный контент, вроде обзоров продуктовых, там вот таких вот вещей. Это та же работа сшкой. Здесь она тоже активно уместна, потому что наша задача быть в поиске, а, первыми там, где это
[[55:34 | t=3334]] возможно. И фактически итог этого этапа, что наш потенциальный клиент понимает, что для решения его проблемы у него есть дватричетыре варианта решения. То есть он уже понимает, что это, а, можно решить за деньги, б есть компании, которые этим занимаются. В вот такие варианты решения у меня есть. А, идём на следующий этап. После размышления нас с вами ждёт этап принятия решения. Фактически на этом этапе клиент уже выбрал какой-то конкретный вариант. Ну вот, например, я в своём кейсе выбрал, что я хочу пойти в фитнес-клуб как
[[56:04 | t=3364]] способ решения своей задачи. Я нахожу конкретные компании, которые помогут мне уже непосредственно взять и склонить там свою чашу весов в их пользу. А здесь задача маркетинга ключевая - это обеспечить позитивный опыт принятия этого решения. Фактически это про то, чтобы та информация, которую клиент запросил про нас, которую он хочет узнать, была ему а предоставлена в полном объёме и б, чтобы она соответствовала его ожиданиям и задачам. А фактически мы говорим про некий позитивный опыт принятия решения. Это
[[56:34 | t=3394]] когда мы приходим в компанию и нам нравится, ну вот пример того же фитнес-зала. Я прихожу в фитнес-зал и мне нравится, как выглядит ресепшн. Мне нравятся тренажёры, мне нравится там наличие хамама и бани какого-нибудь. Мне нравится, что народа не супер много, что групповые программы есть какие-то, которые меня устраивают. Это те факторы, которые будут влиять на моё решение. Но чтобы я про это узнал, мне нужно об этом подсветить до того, как я приду. И вот эти способы подсветить - это уже работа маркетологов. Это размещение конкретного контента на сайте, контента в социальных сетях, это промоакции, это работа с
[[57:05 | t=3425]] отзывами, где другие люди говорят про то же, что было до этого. А и это фактически демонстрация продукта. Но вот в случае с фитнес-клубом это пробное занятие, например. На этом этапе моя задача как бизнеса аа максимально склонить клиента к тому, что именно моё решение максимально ему подходит и больше как бы ему никуда соваться не надо. Следующий этап называется покупка. То есть в этот момент клиент говорит: "Супер, хочу оставить вам денег, давайте уже будем с вами работать". Но здесь надо понимать, что наши потенциальные
[[57:36 | t=3456]] потребители будут с нами общаться там, где это им удобно. Аа, и здесь очень большую роль играет омниканальность, то есть возможность пообщаться с клиентом в том месте, где ему это комфортно. Наша задача маркетинга максимально упростить процесс покупки и оптимизировать конверсию. Фактически это история с онлайн-чатами, с интерфейсный какой-то момент вот историей с сайтом, сомнеканальностью, с техподдержкой. Давайте расскажу антикейс. Я вообще занимаюсь барабанами и раз в год езжу в Тальяте на большой музыкальный фестиваль по этническим инструментам. Он проходит уже двадцать первый год. Проходит он на
[[58:07 | t=3487]] одной и той же базе отдыха на Волге. База старенькая советской, бывшей пионер-лаги, но у нас очень много барабанчиков. Человек типа 300 туда приезжает. И бронируется база супербыстро. Вот только фестиваль объявили, один день всё полностью забрали уже всю базу. И есть момент для того, чтобы в эту базу дозвониться, короче, есть только один способ, чтобы забронировать этот номер. Способ этот написать им Viber. Ну то есть вот просто для понимания. Это антикейс. Мне как
[[58:37 | t=3517]] клиенту супер неудобно писать Вайбер. Скачиваю раз в год, чтобы просто взять и там что-то сделать. А, о, перкуссионисты в чате. Прекрасно. Я вижу, ребят, супер, классно, клёво. А, и, короче, написать Viber - это проблема. Ну, то есть в том плане, что не всегда удобно делать какие-то вещи так, как это задумал бизнес. Иногда нужно думать о потребителе. Ну, к примеру, мне вот в Telegram было бы удобно написать либо в WhatsApp, либо позвонить. Но там этих каналов коммуникации на те моменты не было. И это плохо. Поэтому, пожалуйста,
[[59:07 | t=3547]] чтобы обеспечить максимальный уровень конверсии заявки в продажу, делайте так, чтобы клиенты удобно могли с вами связаться на этом этапе. Это основное. Пойдём дальше. А следующий этап - это непосредственно уже оказание услуги. Это называется сервисный этап либо этап послепродажного обслуживания. Здесь мы должны оказать услугу таким образом, чтобы клиенты, а, во-первых, получали обратную связь вовремя, а, во-вторых, а, чтобы они стали с нами лояльны и как бы никуда от нас не делись. А здесь пример инструментов - это контакт с менеджером,
[[59:37 | t=3577]] это техподдержка, это опросы, программа лояльности, имей расссылки, какие-то такие штуки. А дальше идём, когда с этим у нас всё хорошо, когда мы клиент обслужили хорошо, ему понравилась услуга, мы подписали маркт либо просто завершили указание, есть а шестой этап. Он такой бонусный, условно можно сказать. Суть в том, что мы можем клиентов, с которыми мы хорошо поработали, перевести на петлю лояльности. То есть фактически сделать из нашего клиента адвоката бренда. Для этого мы говорим ему: "Дорогой клиент, ты с нами поработал, ты остался доволен,
[[1:00:09 | t=3609]] давай вот вступай в нашу программу лояльности, следующий заказ будет у тебя со скидоном". Либо может нас кому-то порекомендовать, это же рефералка, отступая, и тогда ты получишь какой-то бонус. Фактически мы строим коммуникацию с клиентом, чтобы удержать его как можно дольше с нами. И это вот удержание - это то, что способствует тому, что клиент работает с нами вдолгую. По этапам CGM всё, их шесть глобальных, основных. Бывают вариации, бывает что-то уходит, что-то приходит, но как бы я вот в своей работе там в консалтинге, встроини стратегии ориентируюсь на эти шесть этапов. Это основное, что можно вообще
